Genera,Phylum
Helicobasidiaceae_gen_Incertae_sedis,Basidiomycota
Radulomyces,Basidiomycota
Scedosporium,Ascomycota
Limonomyces,Basidiomycota
Graphium,Ascomycota
Neoscolecobasidium,Ascomycota
Thyridariaceae_gen_Incertae_sedis,Ascomycota
Gloeotinia,Ascomycota
Leptobacillium,Ascomycota
Terfezia,Ascomycota
Jamesdicksonia,Basidiomycota
Neocelosporium,Ascomycota
Glaciozyma,Basidiomycota
Peroneutypa,Ascomycota
Phoma,Ascomycota
Parascedosporium,Ascomycota
Coriolopsis,Basidiomycota
Clavariaceae_gen_Incertae_sedis,Basidiomycota
Agrocybe,Basidiomycota
Cleistothelebolus,Ascomycota
Candolleomyces,Basidiomycota
Coniophora,Basidiomycota
Spiromastix,Ascomycota
Neodendryphiella,Ascomycota
Cornuvesica,Ascomycota
Auxarthronopsis,Ascomycota
Pleuroflammula,Basidiomycota
Erythrobasidiales_gen_Incertae_sedis,Basidiomycota
Dematiosporium,Ascomycota
Cladochytriales_gen_Incertae_sedis,Chytridiomycota
Triadelphia,Ascomycota
Teichospora,Ascomycota
Entyloma,Basidiomycota
Blackwellomyces,Ascomycota
Pleurocatena,Ascomycota
Basidiomycota_gen_Incertae_sedis,Basidiomycota
Hanseniaspora,Ascomycota
Marchandiobasidium,Basidiomycota
Thelonectria,Ascomycota
Branch03_gen_Incertae_sedis,Rozellomycota
Blastomyces,Ascomycota
Phaeoseptum,Ascomycota
Tubeufiales_gen_Incertae_sedis,Ascomycota
Diatrypella,Ascomycota
Tricholoma,Basidiomycota
Marcelleina,Ascomycota
Aplosporella,Ascomycota
Camarosporidiella,Ascomycota
Myriococcum,Basidiomycota
Lepista,Basidiomycota
Phallus,Basidiomycota
Nemania,Ascomycota
Phaeobotryon,Ascomycota
Peniophoraceae_gen_Incertae_sedis,Basidiomycota
Dothidea,Ascomycota
Dactylospora,Ascomycota
Rhopalophora,Ascomycota
Daldinia,Ascomycota
Coniolariella,Ascomycota
Conioscypha,Ascomycota
Parasarocladium,Ascomycota
Plenodomus,Ascomycota
Eleutheromyces,Ascomycota
Ascosphaera,Ascomycota
Vexillomyces,Ascomycota
Coniothyriaceae_gen_Incertae_sedis,Ascomycota
Juncaceicola,Ascomycota
Matsushimamyces,Ascomycota
Spiromastigoides,Ascomycota
Paradevriesia,Ascomycota
Strophariaceae_gen_Incertae_sedis,Basidiomycota
Melanospora,Ascomycota
Passeriniella,Ascomycota
Didymellaceae_gen_Incertae_sedis,Ascomycota
Sclerococcales_gen_Incertae_sedis,Ascomycota
Botrytis,Ascomycota
Metapochonia,Ascomycota
Termitomyces,Basidiomycota
Neopodoconis,Ascomycota
Lunasporangiospora,Mortierellomycota
Phomopsis,Ascomycota
Mycenastrum,Basidiomycota
Venturiaceae_gen_Incertae_sedis,Ascomycota
Pleuroascus,Ascomycota
Selinia,Ascomycota
