Genera,Phylum
Vampirovibrionaceae_genus,Cyanobacteriota
Thermoflavimicrobium,Bacillota
Irregularibacter,Bacillota
Caldicoprobacter,Bacillota
Lineage_IV_genus,Elusimicrobiota
Frigoribacterium,Actinomycetota
SHA-26_genus,Chloroflexota
Nitrosomonas,Pseudomonadota
Fibrobacteraceae_genus,Fibrobacterota
Hamadaea,Actinomycetota
Aneurinibacillus,Bacillota
Subgroup_19_genus,Acidobacteriota
Dankookia,Pseudomonadota
NK4A214_group,Bacillota
Dysgonomonas,Bacteroidota
D05-2_genus,Pseudomonadota
Variibacter,Pseudomonadota
RF39_genus,Bacillota
Niabella,Bacteroidota
Aminobacter,Pseudomonadota
Paenochrobactrum,Pseudomonadota
Micropruina,Actinomycetota
Dietzia,Actinomycetota
Streptosporangiaceae_genus,Actinomycetota
Sphaerisporangium,Actinomycetota
Rubrivirga,Rhodothermota
IS-44,Pseudomonadota
Curtobacterium,Actinomycetota
Chondromyces,Myxococcota
hgcI_clade,Actinomycetota
Unknown_Family_genus,Pseudomonadota
Pseudofulvimonas,Pseudomonadota
Afipia,Pseudomonadota
Corticibacterium,Pseudomonadota
Microtrichaceae_genus,Actinomycetota
Sulfuricaulis,Pseudomonadota
Thermomonas,Pseudomonadota
SM2D12_genus,Pseudomonadota
Herbinix,Bacillota
Olivibacter,Bacteroidota
Perlucidibaca,Pseudomonadota
Cephaloticoccus,Verrucomicrobiota
Coleofasciculaceae_genus,Cyanobacteriota
Jeotgalibaca,Bacillota
Candidatus_Megaira,Pseudomonadota
Lachnospiraceae_UCG-006,Bacillota
Rhizorhabdus,Pseudomonadota
Parvibaculum,Pseudomonadota
UCG-003,Bacillota
Limnochordaceae_genus,Bacillota
Pueribacillus,Bacillota
R7C24_genus,Pseudomonadota
UBA12409,Dependentiae
Mucilaginibacter,Bacteroidota
Rhodopseudomonas,Pseudomonadota
Sneathiellaceae_genus,Pseudomonadota
[Eubacterium]_coprostanoligenes_group_genus,Bacillota
Phytomonospora,Actinomycetota
Chiayiivirga,Pseudomonadota
Taibaiella,Bacteroidota
Rhodocyclaceae_genus,Pseudomonadota
Paenibacillaceae_genus,Bacillota
Sporichthya,Actinomycetota
Rubritepida,Pseudomonadota
Tomitella,Actinomycetota
Acetobacteraceae_genus,Pseudomonadota
Candidatus_Paracaedibacter,Pseudomonadota
Christensenellaceae_R-7_group,Bacillota
Moheibacter,Bacteroidota
Acidobacteriaceae_(Subgroup_1)_genus,Acidobacteriota
Micromonosporaceae_genus,Actinomycetota
Enterocloster,Bacillota
Anaerosalibacter,Bacillota
Thermopolyspora,Actinomycetota
Thalassiella,Actinomycetota
Hydrogenedensaceae_genus,Hydrogenedentes
Cytophagales_genus,Bacteroidota
Cnuella,Bacteroidota
Deinococcus,Deinococcota
Nemorincola,Bacteroidota
Gordonia,Actinomycetota
Neisseria,Pseudomonadota
Ferrovibrio,Pseudomonadota
Colidextribacter,Bacillota
Lineage_IIc_genus,Elusimicrobiota
Sphingobacteriaceae_genus,Bacteroidota
Glycomycetaceae_genus,Actinomycetota
[Ruminococcus]_gauvreauii_group,Bacillota
UCG-010_genus,Bacillota
Nannocystaceae_genus,Myxococcota
Methylocaldum,Pseudomonadota
Verruc-01,Verrucomicrobiota
EC3_genus,Pseudomonadota
Azospirillum,Pseudomonadota
Spirosomataceae_genus,Bacteroidota
Candidatus_Gottesmanbacteria_genus,Patescibacteria
Oceanicella,Pseudomonadota
Leptolyngbya_ANT.L52.2,Cyanobacteriota
Desulfitobacterium,Bacillota
Aquabacterium,Pseudomonadota
Blautia,Bacillota
eub62A3_genus,Pseudomonadota
Arsenicitalea,Pseudomonadota
Defluviicoccales_genus,Pseudomonadota
Hirschia,Pseudomonadota
Carnobacterium,Bacillota
Occultella,Actinomycetota
Umezawaea,Actinomycetota
Coxiella,Pseudomonadota
Acutalibacter,Bacillota
COB_P4-1_termite_group_genus,Bacteroidota
Deserticella,Pseudomonadota
Nocardiopsis,Actinomycetota
Symbiobacterium,Bacillota
Qipengyuania,Pseudomonadota
Xanthobacter,Pseudomonadota
Polyangium,Myxococcota
E1B-B3-114,Actinomycetota
Saccharopolyspora,Actinomycetota
Peptococcaceae_genus,Bacillota
koll11_genus,Verrucomicrobiota
Jatrophihabitans,Actinomycetota
Rhodanobacter,Pseudomonadota
Tagaea,Pseudomonadota
Bradymonadales_genus,Thermodesulfobacteriota
Bacteriovorax,Bdellovibrionota
AT-s3-44_genus,Pseudomonadota
Isoptericola,Actinomycetota
Tepidisphaeraceae_genus,Planctomycetota
Roseisolibacter,Gemmatimonadota
