"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Ardenticatenales_genus",0,1691,0,698,0,399,0,746,1332,618,0,0,967,1066,0,0,0,0,0,0,0,670,2079,0,0,0,0,0,0,4114,0,0,0,0,3068,0,0,0,0,0,0,0
"Haliangiaceae_genus",0,0,1528,632,1006,87,0,1076,3765,0,0,176,0,0,0,0,0,0,0,0,0,549,1363,0,0,0,4984,0,0,0,0,0,4188,0,3064,0,0,0,0,0,0,0
"Planctomycetales_genus",0,0,0,764,1208,582,0,0,485,0,0,943,0,932,347,1078,0,0,0,16157,0,0,970,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevundimonas",181,351,0,132,2517,484,0,272,0,1409,446,614,0,0,0,0,0,0,4004,0,20957,1528,0,0,0,0,0,0,0,0,0,0,0,29487,5933,0,0,0,63772,0,64330,0
"Pedobacter",235,0,0,172,967,262,0,0,277,1600,0,0,477,0,677,0,0,0,4441,55571,222924,0,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6635,0
"Pirellulaceae_genus",0,3033,0,1605,725,419,0,0,2212,305,514,1274,0,1680,625,0,0,0,0,0,10850,0,1749,0,0,0,0,0,0,0,0,0,0,0,3158,0,0,0,0,0,0,0
"Microbacterium",0,1047,0,395,0,0,0,677,1431,0,0,0,7502,0,831,479,927,0,30655,639640,559643,1009,38467,7843,3734,100976,31178,133088,0,5618,1114,0,38185,76844,16195,3688,25207,140644,31797,3360,73519,65572
"Thermus",1078,521,0,0,1107,479,0,942,0,697,0,0,0,0,0,0,0,2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces",0,0,0,0,0,0,849,980,1151,282,0,491,0,0,0,0,0,0,0,0,10150,1833,8088,0,0,29635,24952,0,0,12259,0,0,0,23590,4747,0,0,0,0,0,0,0
"Lactococcus",0,526,0,0,652,0,0,1043,373,352,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,0,0,0,0,0,0
