"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"ASV24",0,0,779,318,0,116,0,0,537,169,357,118,756,67,58,1464,0,4847,3343,3834,7391,611,8613,219,0,313,723,0,180,156,0,0,127,0,0,155,142,451,0,377,405,1353
"ASV147",0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,1671,6572,684,611,0,16673,0,0,0,0,0,0,0,0,0,0,292,0,6259,0,626,0,0,0
"ASV55",0,926,0,1081,2752,1163,0,0,460,338,7422,1119,4539,200,3644,0,194,0,1337,4792,0,0,0,329,0,0,289,0,0,626,0,404,0,0,0,0,0,902,0,0,0,0
"ASV46",174,1094,606,0,5101,0,0,0,614,846,0,4181,756,0,0,2619,129,0,334,6709,4790,0,0,439,60,0,0,423,719,156,0,944,0,923,0,155,71,0,0,377,0,0
"ASV1263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV20",0,0,0,573,0,0,382,327,3760,0,0,412,1967,200,347,0,194,0,2340,0,0,0,0,987,0,1567,0,0,1439,0,121,4584,0,1538,3651,465,142,2856,626,0,270,2405
"ASV5",87,0,0,64,0,58,0,0,4834,85,1213,59,3480,0,0,154,0,0,0,3012,2737,489,0,0,0,313,289,0,0,0,0,9843,0,154,0,1085,71,752,157,0,0,0
"ASV322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,1506,19571,0,0,0,0,0,0,0,0,0,0,6202,0,154,0,0,0,0,0,251,0,0
"ASV82",0,0,0,0,0,0,0,0,0,1099,0,1885,3933,0,174,0,0,0,2507,3697,2737,367,2184,0,0,3133,3616,0,540,0,0,0,0,1385,0,620,0,0,0,0,0,0
"ASV1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,11122,0,126,0,13978
"ASV564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,25194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV160",0,0,0,0,0,0,0,0,0,169,143,0,4539,67,0,0,0,669,0,0,0,3301,0,10201,0,5953,0,0,0,0,181,0,127,0,0,0,0,0,0,0,0,0
"ASV245",0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,22729,0,0,0,110,0,0,0,0,0,0,0,404,0,615,0,310,0,0,0,0,0,0
"ASV653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24269,0,0,0
"ASV26",0,1094,0,191,0,0,191,0,997,0,0,236,1059,0,289,0,0,0,0,8079,2600,489,0,0,120,0,579,0,0,469,0,6202,0,923,0,0,0,0,0,126,0,0
"ASV249",0,0,0,0,0,0,0,0,0,0,0,118,18457,67,694,0,194,0,334,0,1232,0,0,439,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0
"ASV230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,4050,0,0,2660,603,0,1144,0,4236,3256,0,0,5010,0,0,0
"ASV573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,836,2465,0,0,2911,0,0,0,289,0,5036,0,0,0,0,308,0,0,0,4359,0,126,0,4208
"ASV189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,244,0,0,2342,0,4195,0,1619,782,0,0,0,462,438,6047,213,0,0,0,270,0
"ASV1695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19416,0,923,0,0,0,0,0,0,0,0
"ASV684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,7966,0,0,0,11723
"ASV98",0,0,0,0,0,0,0,65,0,0,856,0,1967,0,116,0,0,0,9359,0,0,856,0,0,0,0,0,0,0,0,0,0,0,6462,0,0,0,0,0,0,0,0
"ASV2161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7214,0,1255,0,10521
"ASV2618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV271",0,0,0,0,872,116,0,392,0,338,0,1590,4992,200,174,0,0,0,836,3971,2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1079",0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,15062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV296",0,168,0,0,0,0,0,0,0,0,0,1296,2269,200,1504,0,0,0,669,5066,2737,0,0,987,0,0,0,0,0,0,0,0,0,0,0,155,71,0,0,0,0,0
"ASV926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5411,157,251,1081,7816
"ASV2891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV42",0,0,0,0,0,116,0,0,2762,0,0,59,605,666,0,0,0,0,501,0,3695,0,2790,548,0,0,0,141,180,0,0,0,0,462,0,0,142,451,0,0,135,601
"ASV250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,10817,0,0,0,0,0,0,0,0,719,0,0,0,0,0,0,1085,0,0,0,126,405,0
"ASV489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,1619,0,0,0,0,0,292,155,284,1804,3914,0,811,1804
"ASV1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV204",0,0,0,0,0,58,0,0,767,0,0,0,0,0,0,0,65,501,1504,0,2327,489,0,0,0,0,0,0,0,0,0,5393,0,1231,146,0,0,0,0,0,0,0
"ASV1242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV474",0,0,0,0,0,0,0,0,0,0,0,0,908,0,116,0,0,0,0,0,3422,0,0,0,0,0,7811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV78",0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,167,334,0,0,0,10433,0,0,0,0,0,0,0,0,0,64,154,0,155,0,0,0,0,0,0
"ASV69",0,0,0,0,0,0,0,0,0,254,0,0,908,67,0,0,0,0,1003,0,3832,122,0,0,0,0,0,0,5396,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV166",0,0,173,0,67,698,700,0,460,169,0,1649,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6067,0,615,0,0,0,0,0,0,0,0
"ASV501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192,0,821,0,0,0,0,0,145,0,0,0,0,0,1080,154,0,0,0,0,0,0,0,0
"ASV319",0,0,8046,64,67,0,318,65,153,0,143,0,0,533,868,77,258,167,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,71,0,0,0,0,0
