Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Fusicolla,21723,3400,0,1556,3487,4822,3688,430,24658,4053,2962,438,0,34644,25245,4531,54777,7571,0,0,68445,0,64878,7242,0,0,16487,18386,0,110151,0,16944,0,0,0,0,0,0,27331,0,0,0
Paramyrothecium,18025,16153,64767,47715,6974,39783,15366,4732,12916,37488,85477,16638,7003,24504,44936,11578,13822,5824,0,0,0,0,0,0,2788,0,0,0,0,0,0,0,14752,2219,0,7034,0,0,0,0,3847,0
Tausonia,1849,4676,2141,3112,6103,278480,14751,1721,21135,0,2539,2189,4814,4225,0,21143,3072,0,77639,18289,0,0,4634,0,0,579,0,12257,0,0,4324,0,0,0,0,4397,0,0,0,0,0,414
Peziza,0,1700,0,5187,125538,201929,0,0,587,0,2116,1314,0,16477,0,0,0,0,71078,0,0,0,3476,48280,0,0,0,0,5685,0,0,0,0,2219,0,0,0,0,0,0,0,0
Vandijckella,28656,5951,56203,9336,17872,29536,9219,3442,6458,7599,10156,9195,13130,19012,42916,5538,24061,12230,63424,0,0,0,0,35003,2788,0,0,0,0,0,0,0,21075,0,0,3517,0,0,0,0,0,0
Stagonospora,25420,8502,27299,16597,12205,17480,37492,12476,26419,30902,10156,9633,17945,6760,18681,27688,5120,23294,0,0,21462,0,28964,0,6969,3472,0,0,5685,9320,2162,0,0,0,0,8793,0,0,0,0,1049,0
Chrysosporium,0,1275,0,0,436,1206,0,430,0,0,423,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82434,0,0,0,0,0,0,0,0,879,0,23980,260012,0,2798,37670
Gibellulopsis,18487,5526,31581,3112,12205,13864,19053,9895,20548,9625,6770,16638,10067,13520,18176,19130,9215,19218,0,0,30162,0,50975,30175,0,1736,18548,0,0,0,4324,0,2107,0,2606,1759,0,11225,0,0,0,0
Hypocreales_gen_Incertae_sedis,3697,8502,23553,29044,23538,40988,1844,3441,6457,5573,24967,19704,7440,22814,10098,11579,3072,57654,28431,0,0,49621,0,0,0,0,0,0,0,0,0,16944,0,0,0,5276,0,0,0,0,350,0
Pyrenochaetopsis,10168,12753,4817,6224,13513,16275,13522,6883,23483,2026,9732,14011,21884,9717,32313,19130,7679,15724,0,18289,0,88481,9268,30175,0,0,0,0,0,7626,0,0,0,0,0,0,0,0,0,0,1749,118
Sphaerulina,2311,8502,8564,4668,10461,10850,11063,0,5284,8612,14810,1751,0,7182,238310,5538,18941,10482,0,0,8701,0,0,16898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torula,31891,8927,7494,6742,9590,21700,29502,4302,16439,17731,4655,5254,50770,31686,15651,3524,11774,24459,0,0,34223,0,3476,14484,5575,0,0,0,2842,0,4324,0,4214,2219,0,4397,0,0,7387,1679,1749,0
Aspergillus,1849,11477,50851,6224,6975,57263,5531,2151,2935,11145,8463,18828,7440,42249,0,503,0,0,0,0,0,0,15061,0,0,0,0,0,2842,0,0,0,10537,28844,0,8793,37641,0,47275,0,0,0
Pyxidiophoraceae_gen_Incertae_sedis,76261,20404,3212,18671,0,0,1229,430,1761,1520,4232,2189,0,13097,0,9061,10751,8735,174961,0,0,0,0,0,2788,0,0,0,2842,0,0,0,0,0,0,6155,26570,0,0,0,0,0
Preussia,50378,8927,5353,5705,17871,22303,15981,3441,14090,26342,14387,7881,7441,2535,17167,3021,7679,16889,0,56011,0,25110,0,0,1394,0,0,12257,0,12710,0,11296,0,0,0,2638,0,0,0,0,0,0
Coniothyrium,12941,2125,3212,2593,78025,13261,2459,430,0,51166,16080,0,0,16477,0,0,13310,72212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72982,0,0,0,0,0,0
