Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Jeotgalicoccus,2,6,0,1,4,0,0,18,0,3,3,4,5,0,0,2,5,6,3,5,7,8,8,22,11,37,3,24,32,42,4,28,10,3,18,50,53,40,22,28,23,35
Corynebacterium,1,0,0,0,2,0,0,19,1,4,1,0,4,0,0,2,13,3,3,10,8,0,4,13,11,5,11,9,21,23,33,27,39,0,21,61,28,35,5,23,121,9
Vicinamibacterales_genus,31,31,39,27,25,30,39,43,27,39,37,35,10,26,18,18,18,19,12,1,6,19,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,4,0,1,0
WD2101_soil_group_genus,20,24,29,29,26,41,26,29,43,30,20,46,6,16,35,22,11,41,11,0,3,9,4,4,0,0,1,3,0,1,0,0,0,0,1,1,1,1,3,0,0,0
Mammaliicoccus,0,0,0,0,2,0,2,2,0,1,1,2,2,6,1,4,5,7,5,14,23,35,9,16,14,27,20,29,11,30,9,13,0,2,5,10,8,17,9,6,3,7
Gemmatimonadaceae_genus,17,17,17,13,14,18,16,27,15,24,23,16,14,17,18,13,12,18,0,2,4,10,2,0,0,0,1,1,1,3,1,0,0,1,0,1,1,0,1,0,0,0
Microvirga,12,10,20,31,14,19,18,14,21,18,12,21,15,8,17,15,5,29,10,0,1,5,0,0,0,0,1,8,0,2,1,2,0,1,1,2,0,2,1,0,2,0
Rhodococcus,0,1,2,1,2,2,0,1,3,1,2,0,3,12,1,2,2,5,1,3,2,1,5,12,4,2,12,9,0,19,3,17,3,4,31,40,12,29,30,9,20,22
Morganella,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,62,44,12,15,8,0,5,18,0,73,0,19,4,56
Escherichia-Shigella,5,0,0,29,207,6,0,6,0,3,7,1,0,6,8,0,1,0,1,4,3,1,5,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0
Sphingobacterium,0,3,0,0,1,0,3,0,0,0,1,0,15,1,0,27,10,10,0,95,6,0,1,0,1,0,3,0,0,0,0,36,0,0,1,0,1,1,14,47,22,0
Chryseobacterium,0,0,0,0,1,1,4,0,1,1,4,0,17,6,7,15,195,5,3,0,23,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
