"","GS01_1","GS01_2","GS01_3","GS01_4","GS01_5","GS01_6","GS03_1","GS03_2","GS03_3","GS03_4","GS03_5","GS03_6","GS07_1","GS07_2","GS07_3","GS07_4","GS07_5","GS07_6","GS14_1","GS14_2","GS14_3","GS14_4","GS14_5","GS14_6","GS21_1","GS21_2","GS21_3","GS21_4","GS21_5","GS21_6","GS28_1","GS28_2","GS28_3","GS28_4","GS28_5","GS28_6","GS35_1","GS35_2","GS35_3","GS35_4","GS35_5","GS35_6"
"Xanthobacteraceae_genus",1245917,1253671,2462713,2414975,1454497,1293490,1463583,1565760,1681327,1410126,1368677,1578271,1144626,1773886,1303183,1100059,1944372,1268030,1125758,864100,1437746,1062873,393690,272971,143508,264694,4818715,1112588,928045,1420489,3532891,3001155,296007,1049200,347274,1265590,274059,1180457,772630,111499,573515,22548
"P2-11E_genus",948009,1197228,1355038,1096016,1090733,994162,799859,1377444,184436,1065914,1174399,593801,616742,1162129,626163,744775,1799472,893481,241670,465588,947674,518681,246518,0,300414,32760,2642386,459753,1129134,0,173740,0,0,0,18248,186300,24265,36343,228010,0,0,0
"S085_genus",1208013,1397932,1645400,1378781,1238420,1110314,1357236,1477627,446078,1151963,1449933,953682,1515672,1490860,830888,1136928,2473165,1433826,476349,506300,1840786,1117620,414743,451936,215127,61821,3312393,1028246,0,567971,188902,1103831,51964,0,49191,776515,24265,48924,463440,9973,117530,0
"11_24_genus",1880982,1432908,2780217,2751916,1910180,1191501,2234330,3203446,2243456,2146163,2327749,1657631,2067547,2792835,1002617,1295099,4521254,2553384,1281583,1440517,3543353,1866525,843589,897633,138034,29210,2985210,1441649,1236264,881865,0,0,0,0,72539,0,85986,116137,501571,0,0,10334
"Croceibacterium",910935,712760,1399168,1190462,960753,918178,984122,750360,2278024,842938,789724,1337998,807155,1288095,973977,724095,1110773,1253425,888793,0,1145929,736186,358336,211927,17828,0,83871,561968,0,200006,0,0,0,0,130318,0,151901,110940,112518,0,0,0
"Lactobacillus",0,0,0,0,0,0,0,0,0,0,17053,0,0,0,0,0,0,0,0,0,6517730,0,42795970,31526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13781,0,645792,0
"Ensifer",559808,409092,479445,420390,536309,276917,332670,402661,182519,382865,288795,229476,609278,421650,507227,447590,981285,533924,1004008,3488881,5947485,428162,1894942,1390242,375378,831022,26273947,13201713,0,7986008,3346278,0,44514,0,1215726,1026722,0,434769,1353983,22170,152811,17604
"Dongia",531018,605542,905170,618910,549411,421518,591153,559357,469585,576434,446152,428635,556878,455563,358892,468446,987992,558198,251814,369145,546432,465462,352030,251735,74169,54850,1039871,417684,0,335708,0,253906,0,0,49114,23125,32501,118268,327102,10785,26309,8789
"AKAU4049_genus",1177202,1372696,1274869,1201165,853478,681491,885740,1120498,352788,1104775,1026392,437454,868554,1116601,580513,629382,1594700,1245555,335542,966669,1306826,776928,394641,291003,190941,161158,5249012,767588,654119,557911,1893373,1379789,26945,151968,90448,322812,121324,200820,597681,16103,24911,7021
"AKIW781_genus",328414,409748,496646,787356,473335,617049,426412,585253,1020844,409970,717714,617198,443008,553920,446479,394368,483675,1409071,489324,102160,310869,497279,177553,100147,94784,74373,188204,252853,211467,424335,152196,916284,15174,0,20542,90040,28341,37143,90074,5374,101145,3454
"Haliangiaceae_genus",491363,546758,957958,588826,601438,684453,589506,771274,598264,412040,491844,628894,607005,886494,490864,608233,623651,717424,508282,173630,598295,421136,247061,110303,23696,15169,2479308,296069,0,405569,208901,310963,14207,0,38396,98797,0,50065,364080,40833,40341,1993
"Saprospiraceae_genus",1057799,344390,1032422,1124836,744247,711930,727679,789449,2719338,854384,919360,1382274,553661,849827,547186,824969,1014250,697417,891815,237763,322622,583194,219298,287086,49064,0,160964,154968,211467,269107,0,0,0,0,68844,0,0,0,27331,8446,0,0
"Ohtaekwangia",811599,965369,947427,955930,745377,1037975,1073858,339865,1359102,525837,576759,1625748,522146,548388,784608,805460,744860,506653,879183,0,410674,293544,126280,168980,0,0,0,0,0,0,0,0,0,0,0,0,0,26530,36934,0,0,0
"Blastocatellaceae_genus",2009387,1170430,2000762,2361582,1673328,1372917,2432258,2357360,4201926,1869942,1607987,2283641,1405657,2304401,1145081,1407601,2818106,2248015,656104,0,1526142,1051748,690618,682014,0,69654,1028417,1479050,0,773278,881544,2242792,0,0,155200,290255,137579,0,206541,0,0,0
"Chitinophagaceae_genus",403306,387526,565330,584005,635631,674200,492965,439044,1209153,391043,685456,1465611,672100,758161,835494,614442,584513,1033886,996140,203564,316245,263708,80145,420795,0,10303,0,197894,181051,0,0,284340,0,0,11306,38545,0,0,94105,0,0,0
