"","x"
"Com_5494_pos",1.18361851338659
"Com_5628_pos",1.02289579104366
"Com_5774_pos",1.03743709774042
"Com_5928_pos",1.19065429951204
"Com_5984_pos",1.20673579999836
"Com_6055_pos",1.10113339079982
"Com_6127_pos",1.19228694586962
"Com_6406_pos",1.03676381125125
"Com_6581_pos",1.41060845198749
"Com_7239_pos",1.07342473650202
"Com_7607_pos",1.41116890954792
"Com_7635_pos",1.39972172779804
"Com_7753_pos",1.23648396555493
"Com_7875_pos",1.44023427514596
"Com_8336_pos",1.02979953718443
"Com_8436_pos",1.29305265658696
"Com_8504_pos",1.09076542704629
"Com_8598_pos",1.01683058597001
"Com_9079_pos",1.18465787503471
"Com_9179_pos",1.44369106395805
"Com_9889_pos",1.21425758158751
"Com_10123_pos",1.20822368526783
"Com_10501_pos",1.39890162099506
"Com_10610_pos",1.07091997892426
"Com_10687_pos",1.27302401463974
"Com_11279_pos",1.24184141559033
"Com_11663_pos",1.19147153800335
"Com_11722_pos",1.06617114473098
"Com_11778_pos",1.12464516836385
"Com_11834_pos",1.23467563673034
"Com_11888_pos",1.61622908536541
"Com_12077_pos",1.31244371927813
"Com_12383_pos",1.07501621914934
"Com_12512_pos",1.01020894578288
"Com_13458_pos",1.47587158926459
"Com_14063_pos",1.54979008758915
"Com_15266_pos",1.27581570433497
"Com_16337_pos",1.19844829775466
"Com_17572_pos",1.11580635444395
"Com_17977_pos",1.19398757505024
"Com_18027_pos",1.20624308833306
"Com_18308_pos",1.24692517893845
"Com_19026_pos",1.34815572199247
"Com_20302_pos",1.09591863739758
"Com_20466_pos",1.47073538085577
"Com_20649_pos",1.4699644653084
"Com_20778_pos",1.31860348948158
"Com_21132_pos",1.11946175354229
"Com_21418_pos",1.0920828118877
"Com_21422_pos",1.30812991653445
"Com_21607_pos",1.05468301205376
"Com_22114_pos",1.04954036293655
"Com_22980_pos",1.10691915827435
"Com_24425_pos",1.16325010884074
"Com_24460_pos",1.30644584489737
"Com_24863_pos",1.08926611743522
"Com_25826_pos",1.25066607662667
"Com_26234_pos",1.26600729723002
"Com_26707_pos",1.21223659042342
"Com_29346_pos",1.161132615578
"Com_29448_pos",1.41817118685727
"Com_29628_pos",1.41683948109632
"Com_30501_pos",1.24167196423057
"Com_31227_pos",1.34497808743759
"Com_32735_pos",1.16275930515024
"Com_32839_pos",1.32144152104528
"Com_32983_pos",1.07173534831408
"Com_33002_pos",1.02903964737902
"Com_33237_pos",1.50099632087133
"Com_34214_pos",1.18436285750722
"Com_35117_pos",1.37923254880649
"Com_36487_pos",1.15816061058085
"Com_38024_pos",1.1753586864322
"Com_39130_pos",1.17969188398863
"Com_40755_pos",1.23862313099636
"Com_41150_pos",1.15758021152658
"Com_41362_pos",1.07757465080911
"Com_44050_pos",1.31767142495682
"Com_45753_pos",1.4575090142297
"Com_47987_pos",1.22224251645677
"Com_48965_pos",1.10874516599992
"Com_49403_pos",1.25212632564107
"Com_50627_pos",1.07144811263371
"Com_51877_pos",1.08684632313984
"Com_54895_pos",1.5671660327653
"Com_60345_pos",1.21059151545001
"Com_63327_pos",1.00356056757933
"Com_68517_pos",1.04593200231989
"Com_68964_pos",1.09166172138898
"Com_69062_pos",1.31611218979829
"Com_72200_pos",1.27480315168774
"Com_72239_pos",1.46752051241559
"Com_80736_pos",1.02834149281779
"Com_81653_pos",1.15866733488405
"Com_86561_pos",1.12580543529308
"Com_88223_pos",1.00794810567906
"Com_96874_pos",1.08422756947411
"Com_101689_pos",1.2383375373901
"Com_174_pos",1.14483369454151
"Com_299_pos",1.03400004802859
"Com_322_pos",1.05658065656969
"Com_448_pos",1.11258869621055
"Com_666_pos",1.09537957990472
"Com_727_pos",1.10808704645173
"Com_775_pos",1.42712627688944
"Com_845_pos",1.03649447346256
"Com_1226_pos",1.17321632303711
"Com_1397_pos",1.46038632014308
"Com_1410_pos",1.16300624187502
"Com_1446_pos",1.33565914440701
"Com_1460_pos",1.076193613866
"Com_1696_pos",1.33115667941258
"Com_1742_pos",1.03424022406052
"Com_2166_pos",1.18689524104969
"Com_2247_pos",1.20682718049279
"Com_2435_pos",1.10618736374756
"Com_2490_pos",1.05154244005249
"Com_2585_pos",1.00393166754946
"Com_3206_pos",1.39330911499384
"Com_3418_pos",1.45906362876689
"Com_3738_pos",1.07753414601562
"Com_3843_pos",1.15034177693715
"Com_4027_pos",1.51451225603924
"Com_4071_pos",1.13191335092395
"Com_4364_pos",1.07674724185887
"Com_4666_pos",1.17173534761746
"Com_4828_pos",1.02662787134435
"Com_4888_pos",1.4225625416395
"Com_4894_pos",1.17169800604713
"Com_5544_pos",1.15347694363662
"Com_6057_pos",1.00892218963651
"Com_6168_pos",1.43676361013038
"Com_7106_pos",1.06322388181369
"Com_7254_pos",1.24417771151925
"Com_8968_pos",1.42528429331318
"Com_9125_pos",1.15168832336474
"Com_9535_pos",1.11233947600329
"Com_11317_pos",1.3159066469198
"Com_12191_pos",1.12617005065895
"Com_12445_pos",1.48114035990422
"Com_12870_pos",1.20129876029644
"Com_13056_pos",1.09275267353629
"Com_13060_pos",1.19318227609691
"Com_13197_pos",1.46477197331128
"Com_13721_pos",1.33446373831487
"Com_13734_pos",1.23778345807807
"Com_13894_pos",1.05349834857576
"Com_14306_pos",1.06729556573559
"Com_15473_pos",1.11489567498393
"Com_15653_pos",1.23454698204242
"Com_17064_pos",1.45996171863678
"Com_17341_pos",1.0348671477676
"Com_18451_pos",1.10414245738377
"Com_18514_pos",1.1946969330885
"Com_18802_pos",1.19188157702783
"Com_19133_pos",1.32981909007481
"Com_19918_pos",1.11518410126684
"Com_20041_pos",1.28417195284292
"Com_20659_pos",1.31276459775644
"Com_20830_pos",1.05449288743315
"Com_21918_pos",1.14332505746412
"Com_23252_pos",1.28601428299056
"Com_23442_pos",1.17227000901169
"Com_25644_pos",1.15125042997237
"Com_29888_pos",1.10431394544986
"Com_29977_pos",1.126265232683
"Com_35331_pos",1.49841072902152
"Com_38964_pos",1.09674716799061
"Com_39354_pos",1.18156781785908
"Com_40367_pos",1.11917214569877
"Com_45166_pos",1.21918954111866
"Com_46770_pos",1.22604205603924
"Com_51784_pos",1.21543391218343
"Com_52001_pos",1.30249936025684
"Com_56845_pos",1.01580673704697
"Com_64648_pos",1.12909426006156
"Com_69146_pos",1.14623280019627
"Com_70106_pos",1.33651676338269
"Com_80874_pos",1.22216964292747
"Com_93764_pos",1.15234697849393
